Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - AP018499.1	Upstream	867	841206	842516	-1	WP_011677063.1	100	99.8	3.84e-289	DNA/RNA non-specific endonuclease [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Upstream	868	842632	842949	-1	WP_021165043.1	100	99.1	1.73e-46	hypothetical protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Upstream	869	843176	843439	-1	WP_011677061.1	100	72.7	2.49e-38	MULTISPECIES: hypothetical protein [Lactobacillales]
PICI REGION 1 - AP018499.1	Upstream	870	843485	844453	-1	WP_061778245.1	100	99.7	7.85e-229	helix-turn-helix domain-containing protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Upstream	871	844607	844777	1	WP_168784840.1	94.6	98.2	3.96e-30	helix-turn-helix domain-containing protein [Lactococcus lactis]
PICI REGION 1 - AP018499.1	Core	872	844885	845580	1	CORE	100	99.6	6.20e-160	PROTEIN: WP_061778244.1 Rha family transcriptional regulator [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Core	873	845834	846019	1	WP_101913874.1	98.3	93.5	1.79e-30	MULTISPECIES: CopG family transcriptional regulator [Lactococcus]
PICI REGION 1 - AP018499.1	Core	874	846205	846426	1	WP_061778243.1	100	98.6	6.71e-43	MULTISPECIES: hypothetical protein [Lactococcus]
PICI REGION 1 - AP018499.1	Core	875	846441	846605	1	WP_155384496.1	100	98.2	1.06e-33	MULTISPECIES: hypothetical protein [Lactococcus]
PICI REGION 1 - AP018499.1	Core	876	846616	847146	1	WP_061778242.1	100	99.4	3.21e-119	hypothetical protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Core	877	847143	847424	1	WP_061778241.1	100	98.9	2.86e-62	MULTISPECIES: hypothetical protein [Lactococcus]
PICI REGION 1 - AP018499.1	Core	878	847467	847706	1	WP_061778240.1	100	98.8	8.36e-51	hypothetical protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Core	879	847703	847957	1	WP_061778239.1	100	98.8	1.24e-52	hypothetical protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Core	880	847954	848289	1	WP_025017251.1	95.5	99.1	5.48e-73	HTH domain-containing protein [Lactococcus lactis]
PICI REGION 1 - AP018499.1	Core	881	848286	849080	1	CORE	100	99.6	7.36e-198	PROTEIN: WP_011677049.1 bifunctional DNA primase/polymerase [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Core	882	849091	850719	1	CORE	100	99.8	0.0	PROTEIN: WP_126354675.1 DNA primase family protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Core	883	850936	851478	1	WP_011677047.1	100	99.4	1.70e-116	hypothetical protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Core	884	851611	852054	1	CORE	100	99.3	4.47e-96	PROTEIN: WP_011677046.1 terminase small subunit [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Downstream	885	852051	852461	1	WP_011677045.1	100	99.3	4.79e-88	RinA family protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Downstream	886	853129	853950	1	WP_011677044.1	100	99.6	8.22e-195	putative RNA methyltransferase [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Downstream	887	853980	854261	-1	WP_021037883.1	100	98.9	7.95e-51	DUF3270 family protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Downstream	888	854433	855404	1	WP_021214164.1	100	94.8	1.26e-217	peptidase U32 family protein [Lactococcus cremoris]
PICI REGION 1 - AP018499.1	Downstream	889	855689	856981	1	WP_004254683.1	100	99.8	1.11e-310	MULTISPECIES: peptidase U32 family protein [Lactococcus]
PICI REGION 2 - AP018499.1	Upstream	606	607345	608685	1	WP_061777692.1	100	99.8	0.0	type I glutamate--ammonia ligase [Lactococcus cremoris]
PICI REGION 2 - AP018499.1	Upstream	607	608746	609051	-1	WP_021164829.1	100	64.7	6.84e-40	hypothetical protein [Lactococcus cremoris]
PICI REGION 2 - AP018499.1	Upstream	608	609686	610411	-1	WP_126354613.1	100	99.6	6.49e-176	hypothetical protein [Lactococcus cremoris]
PICI REGION 2 - AP018499.1	Upstream	609	610404	611726	-1	WP_011835935.1	100	99.8	3.30e-308	AAA family ATPase [Lactococcus cremoris]
PICI REGION 2 - AP018499.1	Upstream	610	612173	612505	-1	WP_011835936.1	100	99.1	5.72e-70	hypothetical protein [Lactococcus cremoris]
PICI REGION 2 - AP018499.1	Core	611	612505	612945	-1	CORE	100	99.3	2.05e-96	PROTEIN: WP_126354615.1 terminase small subunit [Lactococcus cremoris]
PICI REGION 2 - AP018499.1	Core	612	613066	613647	-1	WP_126354617.1	100	99.5	5.84e-128	hypothetical protein [Lactococcus cremoris]
PICI REGION 2 - AP018499.1	Core	613	614110	615783	-1	WP_126354619.1	100	99.8	0.0	hypothetical protein [Lactococcus cremoris]
PICI REGION 2 - AP018499.1	Core	614	615892	616221	-1	WP_025017251.1	98.1	98.2	4.15e-72	HTH domain-containing protein [Lactococcus lactis]
