Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - NZ_CP150019.1	Upstream	943	996387	998621	1	WP_000226828.1	100	99.9	0.0	MULTISPECIES: GTP diphosphokinase [Escherichia]
PICI REGION 1 - NZ_CP150019.1	Upstream	944	998699	998947	1	WP_000581937.1	100	98.8	1.30e-53	MULTISPECIES: type II toxin-antitoxin system antitoxin MazE [Gammaproteobacteria]
PICI REGION 1 - NZ_CP150019.1	Upstream	945	998947	999282	1	WP_000254745.1	100	99.1	1.19e-76	MULTISPECIES: endoribonuclease MazF [Enterobacteriaceae]
PICI REGION 1 - NZ_CP150019.1	Upstream	946	999353	1000144	1	WP_001071648.1	100	99.6	1.46e-183	MULTISPECIES: nucleoside triphosphate pyrophosphohydrolase [Enterobacteriaceae]
PICI REGION 1 - NZ_CP150019.1	Upstream	947	1000372	1002009	1	WP_000210878.1	100	99.8	0.0	MULTISPECIES: glutamine hydrolyzing CTP synthase [Enterobacteriaceae]
PICI REGION 1 - NZ_CP150019.1	Core	948	1002097	1003395	1	CORE	100	99.8	1.49e-300	PROTEIN: WP_000036723.1 MULTISPECIES: phosphopyruvate hydratase [Enterobacteriaceae]
PICI REGION 1 - NZ_CP150019.1	Core	949	1003451	1003813	-1	WP_000034929.1	100	99.2	1.99e-77	MULTISPECIES: hypothetical protein [Enterobacteriaceae]
PICI REGION 1 - NZ_CP150019.1	Core	950	1004577	1004753	-1	WP_432206225.1	98.2	93.2	7.79e-26	TPM domain-containing protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP150019.1	Core	951	1004767	1005369	-1	WP_001379137.1	100	99.5	4.78e-135	MULTISPECIES: LemA family protein [Enterobacteriaceae]
PICI REGION 1 - NZ_CP150019.1	Core	952	1005542	1006213	1	CORE	100	99.6	1.54e-165	PROTEIN: WP_001199982.1 MULTISPECIES: 7-carboxy-7-deazaguanine synthase QueE [Enterobacterales]
PICI REGION 1 - NZ_CP150019.1	Downstream	953	1006916	1007341	-1	WP_285002900.1	63.8	33.1	8.63e-09	hypothetical protein, partial [Escherichia coli]
PICI REGION 1 - NZ_CP150019.1	Downstream	954	1007325	1007927	-1	WP_407254600.1	58.7	22.9	4.85e-07	hypothetical protein [Escherichia coli]
PICI REGION 1 - NZ_CP150019.1	Downstream	955	1008562	1010040	-1	WP_000039683.1	100	99.8	0.0	MULTISPECIES: FGGY-family carbohydrate kinase [Enterobacteriaceae]
PICI REGION 1 - NZ_CP150019.1	Downstream	956	1010067	1011344	-1	WP_023140381.1	100	99.8	7.70e-304	MFS transporter [Escherichia coli]
PICI REGION 1 - NZ_CP150019.1	Downstream	957	1011663	1012448	1	WP_000021330.1	100	99.6	5.55e-187	MULTISPECIES: SDR family oxidoreductase [Enterobacteriaceae]
